# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
207, 1840, 916, 491, 865, 413, 464, 1066, 412, 513, 484, 491, 412
208, 800, 400, 235, 377, 212, 229, 453, 211, 261, 246, 235, 211
209, 748, 373, 228, 353, 199, 215, 428, 198, 256, 231, 228, 198
210, 332, 165, 113, 158, 102, 108, 194, 103, 129, 115, 113, 103
211, 140, 69, 53, 68, 48, 52, 83, 50, 58, 54, 53, 50
212, 60, 30, 25, 30, 24, 25, 34, 25, 26, 27, 25, 25
213, 208, 102, 81, 100, 70, 69, 124, 73, 88, 80, 81, 73
214, 1004, 498, 283, 473, 257, 287, 600, 257, 321, 298, 283, 257
215, 28, 14, 14, 15, 14, 14, 17, 15, 14, 16, 14, 15
216, 24, 12, 10, 13, 10, 12, 15, 9, 11, 11, 10, 9
217, 412, 206, 138, 195, 121, 133, 245, 120, 151, 136, 138, 120
218, 16820, 8363, 4206, 7887, 2085, 3684, 9982, 2339, 2204, 2216, 2204, 2216
219, 2968, 1479, 762, 1393, 575, 746, 1722, 584, 722, 676, 722, 584
220, 8580, 4278, 2155, 4024, 1214, 2149, 4866, 1315, 1348, 1317, 1348, 1315
221, 5468, 2731, 1388, 2565, 834, 1371, 3069, 889, 946, 911, 946, 889
222, 3540, 1764, 903, 1662, 638, 889, 2078, 650, 778, 746, 778, 650
223, 4888, 2440, 1241, 2293, 754, 1226, 2844, 811, 825, 795, 825, 795
224, 3424, 1709, 878, 1607, 568, 967, 1883, 596, 668, 629, 668, 596
225, 2296, 1148, 604, 1078, 445, 650, 1275, 444, 537, 512, 537, 444
226, 32172, 15978, 8043, 15083, 2900, 6037, 18646, 4142, 2368, 2475, 2368, 2475
227, 424, 212, 140, 201, 121, 137, 253, 121, 156, 139, 140, 121
228, 1652, 823, 449, 777, 349, 469, 943, 350, 443, 403, 443, 350
229, 32908, 16345, 8228, 15428, 2795, 7203, 18920, 4229, 2154, 2263, 2154, 2263
230, 7792, 3883, 1952, 3655, 1178, 1952, 4505, 1246, 1377, 1341, 1377, 1246
231, 3068, 1527, 789, 1440, 582, 867, 1790, 586, 703, 670, 703, 586
232, 15428, 7704, 3858, 7234, 1947, 3379, 8827, 2181, 2057, 2068, 2057, 2068
233, 6632, 3300, 1669, 3111, 990, 1455, 3795, 1044, 1128, 1097, 1128, 1044
234, 256, 128, 87, 122, 81, 84, 152, 80, 98, 93, 87, 80
235, 6496, 3235, 1629, 3047, 1042, 1628, 3759, 1088, 1280, 1240, 1280, 1088
236, 8368, 4174, 2098, 3925, 1204, 1835, 4767, 1287, 1336, 1322, 1336, 1287
237, 3272, 1633, 833, 1536, 606, 822, 1880, 611, 743, 701, 743, 611
238, 32516, 16194, 8131, 15244, 2972, 7117, 19071, 4155, 2366, 2493, 2366, 2493
239, 1712, 855, 463, 805, 363, 486, 967, 363, 463, 429, 463, 363
240, 1380, 687, 376, 649, 316, 435, 772, 315, 391, 367, 376, 315
241, 892, 446, 263, 420, 220, 255, 516, 219, 271, 255, 263, 219
242, 10560, 5250, 2640, 4952, 1479, 1985, 6301, 1598, 1754, 1722, 1754, 1598
243, 220, 110, 82, 105, 69, 80, 131, 68, 81, 80, 81, 68
244, 20, 10, 8, 12, 9, 11, 13, 10, 10, 10, 8, 10
245, 24, 12, 9, 13, 10, 13, 15, 9, 9, 11, 9, 9
246, 84, 42, 27, 42, 23, 33, 53, 23, 28, 26, 27, 23
247, 26556, 13170, 6639, 12450, 2750, 4984, 15606, 3464, 2421, 2509, 2421, 2509
248, 28, 14, 12, 14, 12, 14, 15, 12, 12, 13, 12, 12
249, 964, 480, 274, 454, 219, 275, 571, 220, 252, 237, 252, 220
250, 160, 79, 59, 77, 57, 59, 95, 57, 66, 63, 59, 57
251, 40, 20, 15, 20, 14, 18, 23, 15, 15, 17, 15, 15
252, 348, 172, 100, 165, 86, 134, 180, 89, 109, 100, 100, 89
253, 88, 44, 29, 43, 25, 37, 54, 25, 29, 28, 29, 25
254, 292, 142, 84, 139, 66, 104, 161, 67, 76, 73, 76, 67
255, 1528, 754, 405, 718, 298, 434, 830, 297, 334, 329, 334, 297
256, 1352, 669, 364, 636, 271, 427, 751, 275, 315, 306, 315, 275
257, 776, 385, 226, 366, 188, 247, 436, 187, 233, 216, 226, 187
258, 620, 308, 187, 293, 153, 198, 345, 153, 185, 173, 185, 153
259, 668, 332, 197, 315, 151, 213, 367, 152, 182, 167, 182, 152
260, 216, 106, 83, 103, 77, 72, 124, 79, 93, 86, 83, 79
261, 252, 126, 82, 120, 74, 91, 143, 75, 91, 86, 82, 75
262, 180, 88, 67, 87, 60, 66, 101, 61, 71, 67, 67, 61
263, 464, 230, 134, 220, 112, 164, 254, 111, 131, 123, 131, 111
264, 132, 65, 50, 64, 46, 49, 74, 46, 52, 52, 50, 46
265, 28, 14, 12, 15, 12, 14, 16, 11, 12, 13, 12, 11
266, 3420, 1703, 873, 1605, 620, 859, 2032, 637, 714, 702, 714, 637
267, 28, 14, 12, 15, 12, 14, 17, 12, 12, 13, 12, 12
268, 196, 98, 60, 94, 53, 77, 103, 52, 64, 61, 60, 52
269, 136, 68, 41, 65, 32, 55, 71, 32, 35, 34, 35, 32
270, 32, 16, 13, 17, 13, 17, 18, 13, 14, 14, 13, 13
271, 40, 20, 16, 20, 15, 20, 21, 16, 17, 17, 16, 16
272, 40, 20, 14, 21, 15, 19, 25, 15, 17, 17, 14, 15
273, 88, 41, 30, 42, 29, 37, 47, 28, 32, 32, 30, 28
274, 56, 28, 22, 28, 23, 25, 31, 23, 25, 25, 22, 23
275, 28, 14, 12, 15, 12, 14, 16, 12, 12, 13, 12, 12
