# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
674, 1748, 871, 462, 822, 404, 441, 1040, 404, 481, 457, 462, 404
675, 5596, 2788, 1405, 2625, 951, 1403, 3345, 968, 1186, 1153, 1186, 968
676, 4800, 2396, 1207, 2252, 832, 1204, 2877, 843, 1025, 997, 1025, 843
677, 8068, 4022, 2022, 3784, 1214, 2021, 4762, 1270, 1453, 1424, 1453, 1270
678, 10188, 5075, 2549, 4778, 1434, 2551, 5949, 1537, 1668, 1646, 1668, 1537
679, 2780, 1385, 709, 1305, 570, 699, 1661, 569, 706, 678, 706, 569
680, 4324, 2153, 1086, 2029, 782, 1085, 2587, 791, 982, 943, 982, 791
681, 1824, 908, 480, 857, 412, 460, 1092, 411, 509, 486, 480, 411
682, 2468, 1231, 637, 1159, 490, 698, 1481, 494, 612, 577, 612, 494
683, 5124, 2553, 1289, 2404, 891, 1285, 3037, 899, 1115, 1086, 1115, 899
684, 136, 68, 54, 66, 50, 47, 82, 49, 58, 54, 54, 49
685, 1600, 797, 428, 752, 350, 454, 970, 349, 431, 411, 428, 349
686, 2184, 1088, 566, 1026, 477, 619, 1299, 477, 606, 564, 566, 477
687, 6632, 3299, 1663, 3111, 1073, 1662, 3946, 1105, 1344, 1302, 1344, 1105
688, 4964, 2476, 1248, 2329, 854, 1245, 2941, 868, 1037, 1008, 1037, 868
689, 3160, 1577, 812, 1483, 604, 794, 1880, 603, 749, 715, 749, 603
690, 10656, 5310, 2667, 4997, 1480, 2668, 6287, 1585, 1740, 1718, 1740, 1585
691, 232, 116, 85, 111, 77, 84, 142, 78, 96, 89, 85, 78
692, 7012, 3485, 1758, 3289, 1081, 1976, 4175, 1133, 1325, 1287, 1325, 1133
693, 8748, 4353, 2191, 4103, 1309, 2191, 5147, 1374, 1569, 1536, 1569, 1374
694, 5596, 2782, 1404, 2625, 927, 1403, 3330, 959, 1184, 1123, 1184, 959
695, 1724, 859, 456, 810, 401, 489, 1016, 400, 493, 466, 456, 400
696, 4444, 2208, 1122, 2085, 796, 1115, 2637, 820, 1013, 947, 1013, 820
697, 756, 378, 218, 357, 200, 240, 450, 200, 243, 230, 218, 200
698, 772, 385, 229, 364, 203, 221, 464, 203, 257, 233, 229, 203
699, 96, 48, 39, 47, 37, 34, 60, 37, 40, 42, 39, 37
700, 192, 96, 73, 92, 60, 64, 113, 61, 73, 68, 73, 61
701, 160, 80, 60, 77, 56, 59, 96, 57, 66, 61, 60, 57
702, 1328, 662, 361, 625, 308, 378, 798, 308, 388, 361, 361, 308
703, 20020, 9971, 5006, 9387, 2344, 5009, 11772, 2676, 2267, 2314, 2267, 2314
704, 1344, 670, 372, 632, 281, 424, 813, 285, 365, 328, 365, 285
705, 444, 222, 140, 210, 108, 143, 272, 108, 115, 110, 115, 108
706, 84, 42, 29, 42, 27, 35, 48, 26, 30, 30, 29, 26
707, 48, 24, 20, 25, 20, 22, 29, 19, 20, 20, 20, 19
708, 132, 66, 48, 64, 43, 49, 80, 43, 52, 47, 48, 43
709, 56, 28, 25, 28, 23, 23, 34, 24, 25, 26, 25, 24
710, 32, 16, 14, 17, 14, 16, 19, 14, 14, 14, 14, 14
711, 32, 15, 14, 16, 13, 15, 18, 14, 14, 16, 14, 14
712, 56, 28, 23, 28, 22, 23, 34, 23, 24, 26, 23, 23
713, 6904, 3434, 1733, 3238, 1076, 1730, 4148, 1119, 1287, 1282, 1287, 1119
714, 68, 34, 25, 34, 23, 27, 43, 22, 26, 26, 25, 22
715, 24, 12, 12, 13, 12, 13, 13, 12, 12, 12, 12, 12
716, 24, 12, 8, 13, 9, 11, 15, 8, 9, 9, 8, 8
717, 116, 58, 42, 57, 38, 47, 68, 40, 46, 42, 42, 40
718, 668, 332, 207, 315, 191, 192, 393, 191, 236, 220, 207, 191
719, 16608, 8198, 4152, 7787, 2037, 3119, 9662, 2304, 2082, 2084, 2082, 2084
720, 37228, 18503, 9308, 17453, 3060, 8148, 21526, 4745, 2318, 2456, 2318, 2456
721, 4324, 2153, 1088, 2029, 815, 1085, 2551, 822, 1046, 988, 1046, 822
722, 18360, 9142, 4590, 8608, 2247, 3447, 10733, 2507, 2318, 2351, 2318, 2351
723, 56, 28, 22, 28, 22, 23, 35, 22, 24, 24, 22, 22
724, 792, 394, 240, 373, 213, 227, 476, 213, 264, 245, 240, 213
725, 23004, 11442, 5751, 10785, 2572, 4318, 13455, 3034, 2380, 2455, 2380, 2455
726, 24, 12, 11, 13, 13, 12, 15, 12, 12, 13, 11, 12
727, 220, 110, 81, 105, 70, 80, 131, 70, 89, 77, 81, 70
728, 636, 318, 170, 300, 74, 223, 398, 95, 57, 58, 57, 58
729, 4612, 2296, 1160, 2164, 796, 1157, 2760, 827, 961, 929, 961, 827
730, 196, 97, 69, 94, 62, 71, 120, 61, 73, 71, 69, 61
731, 7852, 3911, 1969, 3683, 1174, 1967, 4594, 1222, 1387, 1365, 1387, 1222
732, 440, 219, 141, 208, 127, 142, 261, 128, 159, 142, 141, 128
733, 312, 155, 107, 148, 94, 111, 187, 93, 115, 111, 107, 93
734, 432, 214, 144, 205, 116, 153, 261, 116, 155, 134, 144, 116
735, 80, 40, 33, 40, 32, 32, 44, 32, 36, 35, 33, 32
736, 116, 58, 45, 57, 42, 44, 66, 43, 49, 46, 45, 43
737, 72, 36, 27, 36, 26, 29, 43, 25, 28, 30, 27, 25
738, 328, 162, 105, 156, 96, 117, 196, 96, 123, 108, 105, 96
739, 84, 42, 37, 42, 32, 33, 51, 32, 38, 36, 37, 32
740, 2448, 1220, 640, 1150, 502, 693, 1474, 504, 640, 595, 640, 504
741, 1920, 959, 501, 902, 431, 484, 1139, 430, 537, 505, 501, 430
742, 10548, 5175, 2638, 4947, 1453, 2312, 6047, 1592, 1601, 1598, 1601, 1592
743, 44, 22, 21, 23, 20, 20, 28, 20, 21, 21, 21, 20
744, 140, 69, 48, 68, 45, 52, 86, 46, 52, 52, 48, 46
745, 436, 215, 143, 207, 130, 140, 260, 129, 160, 147, 143, 129
746, 10888, 5346, 2732, 5106, 1337, 2726, 6261, 1586, 1326, 1323, 1326, 1323
747, 64, 32, 23, 32, 22, 26, 40, 21, 24, 25, 23, 21
748, 32, 15, 15, 16, 14, 16, 18, 14, 15, 16, 15, 14
749, 24, 12, 8, 13, 9, 12, 15, 8, 8, 10, 8, 8
750, 3176, 1580, 818, 1491, 564, 798, 1907, 583, 633, 621, 633, 583
751, 28, 14, 13, 15, 14, 13, 18, 14, 14, 14, 13, 14
752, 48, 24, 22, 25, 21, 22, 29, 21, 22, 23, 22, 21
753, 4316, 2147, 1090, 2025, 754, 1083, 2501, 772, 931, 885, 931, 772
754, 40, 20, 16, 21, 17, 18, 25, 17, 18, 19, 16, 17
755, 224, 111, 82, 107, 74, 81, 136, 74, 92, 84, 82, 74
756, 180, 88, 61, 87, 56, 66, 102, 57, 67, 65, 61, 57
757, 192, 96, 73, 92, 66, 70, 113, 66, 80, 74, 73, 66
758, 232, 116, 84, 111, 75, 84, 139, 75, 91, 87, 84, 75
759, 164, 82, 66, 79, 55, 60, 99, 59, 69, 64, 66, 59
760, 96, 47, 38, 47, 35, 37, 58, 36, 39, 40, 38, 36
761, 36, 18, 13, 19, 14, 17, 23, 14, 15, 15, 13, 14
762, 312, 156, 106, 148, 102, 111, 192, 102, 122, 114, 106, 102
763, 56, 28, 22, 28, 22, 25, 34, 22, 23, 24, 22, 22
764, 28, 14, 10, 15, 10, 14, 18, 10, 12, 11, 10, 10
765, 28, 14, 11, 15, 11, 13, 18, 10, 12, 12, 11, 10
766, 28, 14, 14, 15, 14, 14, 16, 14, 14, 15, 14, 14
767, 52, 25, 22, 27, 21, 22, 29, 20, 23, 23, 22, 20
768, 15496, 7724, 3874, 7266, 1965, 2910, 9082, 2179, 2131, 2136, 2131, 2136
769, 10296, 5129, 2574, 4828, 1489, 1935, 6090, 1595, 1839, 1786, 1839, 1595
770, 144, 72, 56, 70, 49, 58, 88, 50, 58, 57, 56, 50
771, 132, 66, 55, 64, 49, 45, 80, 49, 56, 53, 55, 49
772, 10588, 5268, 2648, 4965, 1500, 2321, 6148, 1612, 1738, 1687, 1738, 1612
773, 548, 272, 175, 259, 149, 175, 333, 151, 192, 171, 175, 151
774, 68, 34, 30, 34, 28, 27, 40, 28, 33, 31, 30, 28
775, 4848, 2420, 1225, 2275, 800, 1216, 2901, 834, 926, 904, 926, 834
776, 32, 16, 14, 17, 14, 15, 20, 14, 14, 16, 14, 14
777, 40, 20, 16, 21, 17, 19, 25, 17, 18, 19, 16, 17
778, 92, 46, 37, 45, 34, 36, 55, 35, 38, 40, 37, 35
779, 488, 241, 166, 231, 143, 142, 289, 148, 189, 163, 166, 148
780, 240, 120, 88, 115, 79, 87, 147, 79, 95, 92, 88, 79
781, 7412, 3698, 1857, 3477, 1134, 1626, 4378, 1212, 1353, 1310, 1353, 1212
782, 420, 208, 134, 199, 126, 148, 253, 126, 153, 150, 134, 126
783, 224, 112, 83, 107, 71, 74, 137, 72, 88, 84, 83, 72
784, 312, 154, 105, 148, 96, 102, 189, 95, 113, 107, 105, 95
785, 96, 48, 40, 47, 35, 37, 58, 37, 42, 40, 40, 37
786, 3252, 1623, 833, 1527, 601, 817, 1943, 615, 702, 682, 702, 615
787, 92, 45, 38, 45, 35, 36, 54, 36, 43, 40, 38, 36
788, 40, 20, 18, 21, 20, 19, 24, 19, 19, 19, 18, 19
789, 160, 80, 62, 77, 53, 54, 96, 53, 66, 62, 62, 53
790, 20, 10, 10, 12, 10, 11, 12, 10, 10, 12, 10, 10
791, 28, 14, 12, 15, 12, 14, 15, 12, 12, 12, 12, 12
792, 128, 64, 54, 62, 47, 48, 74, 48, 57, 53, 54, 48
793, 636, 315, 195, 300, 163, 223, 371, 163, 209, 188, 195, 163
794, 56, 27, 21, 28, 22, 25, 32, 23, 25, 24, 21, 23
795, 20, 10, 9, 12, 11, 11, 12, 10, 9, 11, 9, 10
796, 216, 107, 67, 103, 48, 78, 133, 48, 58, 56, 58, 48
797, 4252, 2118, 1071, 1995, 760, 1067, 2543, 775, 927, 890, 927, 775
798, 48, 24, 19, 25, 18, 21, 30, 18, 19, 20, 19, 18
799, 40, 20, 13, 21, 12, 20, 21, 12, 14, 13, 13, 12
800, 52, 26, 18, 27, 17, 23, 29, 18, 19, 20, 18, 18
801, 284, 140, 103, 135, 88, 102, 171, 90, 114, 101, 103, 90
802, 20, 10, 8, 12, 8, 12, 12, 8, 9, 9, 8, 8
803, 508, 248, 149, 240, 112, 163, 289, 111, 144, 131, 144, 111
804, 7936, 3963, 1989, 3722, 1168, 1741, 4773, 1269, 1339, 1313, 1339, 1269
805, 64, 31, 17, 28, 12, 26, 32, 14, 16, 15, 16, 14
806, 76, 37, 28, 38, 27, 30, 46, 26, 30, 30, 28, 26
807, 24, 12, 10, 13, 10, 12, 13, 9, 10, 11, 10, 9
808, 10624, 5298, 2659, 4982, 1435, 2660, 6276, 1556, 1575, 1556, 1575, 1556
809, 48, 24, 20, 25, 20, 22, 30, 20, 22, 22, 20, 20
810, 20, 10, 9, 12, 10, 11, 13, 10, 9, 10, 9, 10
811, 444, 222, 148, 210, 133, 143, 268, 133, 163, 153, 148, 133
812, 400, 199, 131, 190, 118, 129, 244, 119, 148, 134, 131, 119
813, 16164, 8042, 4041, 7579, 2048, 3035, 9436, 2261, 2203, 2212, 2203, 2212
814, 35596, 17695, 8899, 16688, 3025, 6679, 20594, 4552, 2342, 2465, 2342, 2465
815, 4040, 2013, 1027, 1896, 703, 1014, 2394, 738, 804, 786, 804, 738
816, 768, 381, 225, 362, 202, 220, 454, 201, 255, 228, 225, 201
817, 428, 212, 137, 203, 116, 138, 257, 115, 134, 129, 134, 115
818, 108, 54, 43, 53, 41, 41, 65, 43, 47, 47, 43, 43
819, 504, 250, 161, 238, 146, 162, 295, 146, 176, 168, 161, 146
820, 88, 44, 32, 43, 31, 34, 55, 30, 33, 33, 32, 30
821, 468, 232, 151, 222, 125, 136, 282, 124, 152, 143, 151, 124
822, 276, 137, 98, 132, 85, 90, 161, 90, 104, 96, 98, 90
823, 656, 327, 199, 310, 182, 189, 380, 182, 228, 209, 199, 182
824, 10580, 5266, 2646, 4962, 1499, 2319, 6218, 1593, 1769, 1725, 1769, 1593
825, 520, 259, 168, 246, 139, 167, 300, 139, 171, 156, 168, 139
826, 28, 14, 12, 15, 12, 14, 18, 12, 13, 13, 12, 12
827, 704, 351, 213, 332, 182, 202, 399, 181, 228, 210, 213, 181
828, 28268, 14075, 7069, 13253, 2824, 7071, 16762, 3625, 2362, 2460, 2362, 2460
829, 12480, 6209, 3121, 5852, 1704, 2735, 7394, 1815, 1965, 1946, 1965, 1815
830, 84, 42, 32, 42, 31, 33, 50, 32, 35, 35, 32, 32
831, 180, 90, 62, 87, 57, 66, 99, 57, 67, 65, 62, 57
832, 116, 58, 45, 57, 43, 47, 69, 44, 51, 48, 45, 44
833, 72, 35, 28, 36, 23, 29, 43, 23, 28, 28, 28, 23
834, 196, 98, 79, 94, 71, 65, 118, 72, 86, 78, 79, 72
835, 6236, 3109, 1561, 2925, 1058, 1563, 3695, 1086, 1344, 1279, 1344, 1086
836, 28376, 14144, 7094, 13303, 2788, 5325, 16845, 3680, 2405, 2504, 2405, 2504
837, 28, 14, 14, 15, 14, 14, 16, 14, 14, 15, 14, 14
838, 576, 287, 174, 272, 138, 184, 352, 138, 181, 162, 174, 138
839, 364, 182, 125, 173, 113, 118, 211, 113, 139, 128, 125, 113
840, 20, 9, 9, 10, 10, 11, 11, 10, 10, 11, 9, 10
841, 40, 20, 15, 20, 15, 20, 21, 15, 17, 16, 15, 15
842, 3176, 1588, 834, 1491, 466, 898, 1945, 520, 475, 454, 475, 454
843, 28, 14, 12, 15, 13, 15, 17, 13, 13, 14, 12, 13
844, 60, 30, 25, 30, 23, 25, 37, 24, 26, 26, 25, 24
845, 88, 43, 35, 43, 33, 34, 54, 34, 38, 38, 35, 34
846, 504, 251, 157, 238, 145, 162, 308, 146, 181, 165, 157, 146
847, 20, 10, 9, 12, 9, 10, 13, 9, 10, 10, 9, 9
848, 24, 12, 9, 13, 10, 12, 15, 10, 11, 11, 9, 10
849, 24, 12, 9, 13, 10, 12, 15, 11, 11, 11, 9, 11
850, 5356, 2667, 1342, 2513, 940, 1176, 3168, 959, 1201, 1147, 1201, 959
851, 780, 387, 232, 368, 200, 248, 474, 200, 252, 233, 232, 200
852, 200, 100, 79, 96, 68, 67, 119, 68, 85, 76, 79, 68
853, 76, 38, 31, 38, 28, 32, 47, 29, 33, 31, 31, 29
